step,time_ms,target_x_mm,target_y_mm,theta_A_deg,theta_B_deg,motor_A_shaft_deg,motor_B_shaft_deg,motor_A_shaft_deg_x100,motor_B_shaft_deg_x100
148,740.0,-59.9473698059315,-198.743730388124,-140.21782569987954,-62.06514352819601,-1121.7426055990363,-496.5211482255681,-112174,-49652
149,745.0,-59.98684100849073,-199.37172740349928,-140.03837726125883,-62.2812042096037,-1120.3070180900706,-498.2496336768296,-112030,-49824
150,750.0,-60.0,-200.0,-139.8503952849947,-62.48650416344261,-1118.8031622799576,-499.8920333075409,-111880,-49989
151,755.0,-59.98684100849073,-200.6282725965007,-139.65402634730648,-62.68101002028239,-1117.2322107784519,-501.44808016225915,-111723,-50144
152,760.0,-59.9473698059315,-201.25626961187598,-139.44941706021993,-62.864692373688314,-1115.5953364817594,-502.9175389895065,-111559,-50291
153,765.0,-59.88160370569629,-201.8837155858794,-139.23671394662824,-63.0375258078009,-1113.893711573026,-504.3002064624072,-111389,-50430
154,770.0,-59.789571554970266,-202.51033529996946,-139.016063327347,-63.1994889288945,-1112.128506618776,-505.595911431156,-111212,-50559
155,775.0,-59.6713137220964,-203.1358538980296,-138.78761121979244,-63.35056440031004,-1110.3008897583395,-506.80451520248033,-111030,-50680
156,780.0,-59.526882078868674,-203.75999700692913,-138.55150324789534,-63.49073898014466,-1108.4120259831627,-507.9259118411573,-110841,-50792
157,785.0,-59.3563399777793,-204.38249085687235,-138.30788456284876,-63.62000356107261,-1106.46307650279,-508.96002848858086,-110646,-50896
158,790.0,-59.15976222423029,-205.00306240148308,-138.0568997742774,-63.738353211663984,-1104.4551981942193,-509.9068256933119,-110445,-50990
159,795.0,-58.937235043721316,-205.62143943757175,-137.79869289140603,-63.84578721856487,-1102.3895431312483,-510.766297748519,-110238,-51076
160,800.0,-58.68885604402834,-206.23735072453277,-137.5334072738001,-63.94230912890157,-1100.2672581904008,-511.53847303121256,-110026,-51153
161,805.0,-58.414734172389615,-206.85052610331965,-137.26118559124498,-64.02792679227352,-1098.0894847299598,-512.2234143381881,-109808,-51222
162,810.0,-58.11498966771787,-207.46069661494565,-136.9821697923311,-64.10265240170618,-1095.8573583386487,-512.8212192136494,-109585,-51282
163,815.0,-57.78975400785949,-208.06759461845797,-136.6965010813078,-64.16650253294296,-1093.5720086504623,-513.3320202635437,-109357,-51333
164,820.0,-57.43916985192405,-208.67095390833413,-136.4043199027731,-64.21949818146807,-1091.2345592221848,-513.7559854517446,-109123,-51375
165,825.0,-57.063390977709226,-209.2705098312484,-136.10576593376717,-64.261664796668,-1088.8461274701374,-514.093318373344,-108884,-51409
166,830.0,-56.66258221424885,-209.8659994021575,-135.80097808284145,-64.29303231255746,-1086.4078246627316,-514.3442585004597,-108640,-51434
167,835.0,-56.236919369513494,-210.45716141965445,-135.49009449568084,-64.31363517451878,-1083.9207559654467,-514.5090813961502,-108392,-51450
168,840.0,-55.78658915329509,-211.04373658054033,-135.1732525668612,-64.3235123615289,-1081.3860205348897,-514.5880988922312,-108138,-51458
169,845.0,-55.31178909531003,-211.6254675935631,-134.85058895733303,-64.32270740337641,-1078.8047116586642,-514.5816592270113,-107880,-51458
170,850.0,-54.812727458556054,-212.202099292274,-134.52223961722845,-64.31126839240385,-1076.1779169378276,-514.4901471392308,-107617,-51449
171,855.0,-54.289623147961166,-212.77337874695218,-134.18833981359765,-64.28924798934347,-1073.5067185087812,-514.3139839147477,-107350,-51431
172,860.0,-53.74270561436478,-213.33905537554782,-133.84902416269165,-64.25670342285412,-1070.7921933015332,-514.0536273828329,-107079,-51405
173,865.0,-53.17221475387289,-213.89888105359583,-133.5044266664148,-64.21369648240388,-1068.0354133313183,-513.709571859231,-106803,-51370
174,870.0,-52.57840080263182,-214.45261022305144,-133.15468075258445,-64.16029350418786,-1065.2374460206756,-513.2823480335029,-106523,-51328
175,875.0,-51.96152422706633,-215.0,-132.79991931864342,-64.09656534981161,-1062.3993545491473,-512.7725227984929,-106239,-51277
176,880.0,-51.321855609630425,-215.5408102811939,-132.44027477848257,-64.02258737751804,-1059.5221982278606,-512.1806990201443,-105952,-51218
177,885.0,-50.6596755301209,-216.0748038493699,-132.07587911204314,-63.93843940578084,-1056.6070328963451,-511.5075152462467,-105660,-51150
178,890.0,-49.97527444260596,-216.60174647730034,-131.70686391737794,-63.84420566913589,-1053.6549113390236,-510.7536453530871,-105365,-51075
179,895.0,-49.26895254802225,-217.12140703053294,-131.3333604648646,-63.73997476616872,-1050.6668837189168,-509.9197981293498,-105066,-50991
180,900.0,-48.54101966249685,-217.6335575687742,-130.95549975327364,-63.62583959962585,-1047.6439980261891,-509.0067167970068,-104764,-50900
181,905.0,-47.79179508145178,-218.13797344587124,-130.57341256740742,-63.50189730866394,-1044.5873005392593,-508.01517846931154,-104458,-50801
182,910.0,-47.021607439550394,-218.6344334083493,-130.18722953703613,-63.368249193298844,-1041.497836296289,-506.94599354639075,-104149,-50694
183,915.0,-46.23079456654735,-219.1227196924607,-129.79708119687,-63.22500063116258,-1038.37664957496,-505.80000504930064,-103837,-50580
184,920.0,-45.4197033391054,-219.60261811970315,-129.40309804731714,-63.07226098672069,-1035.2247843785372,-504.57808789376554,-103522,-50457
185,925.0,-44.58868952864367,-220.07391819076574,-129.00541061578747,-62.910143513145705,-1032.0432849262997,-503.28114810516564,-103204,-50328
186,930.0,-43.73811764528471,-220.53641317786065,-128.60414951831464,-62.73876524708397,-1028.8331961465171,-501.91012197667175,-102883,-50191
187,935.0,-42.8683607779682,-220.98990021540095,-128.1994455212776,-62.55824689659054,-1025.5955641702208,-500.4659751727243,-102559,-50046
188,940.0,-41.979800430801916,-221.4341803889841,-127.79142960301337,-62.36871272254448,-1022.331436824107,-498.94970178035584,-102233,-49894
189,945.0,-41.07282635572132,-221.86905882264236,-127.38023301512261,-62.17029041388912,-1019.0418641209809,-497.36232331111296,-101904,-49736
190,950.0,-40.14783638153149,-222.29434476432183,-126.96598734327861,-61.96311095707262,-1015.7278987462289,-495.704887656581,-101572,-49570
191,955.0,-39.20523623940633,-222.70985166955268,-126.54882456735767,-61.747308500091634,-1012.3905965388614,-493.9784680007331,-101239,-49397
192,960.0,-38.24543938492137,-223.1153972832737,-126.12887712071895,-61.5230202115635,-1009.0310169657516,-492.184161692508,-100903,-49218
193,965.0,-37.26886681669863,-223.5108037197752,-125.70627794846757,-61.29038613527515,-1005.6502235877406,-490.3230890822012,-100565,-49032
194,970.0,-36.27594689174252,-223.89589754072588,-125.28116056454196,-61.049549040671536,-1002.2492845163357,-488.3963923253723,-100224,-48839
195,975.0,-35.267115137548394,-224.27050983124843,-124.85365910747386,-60.80065426976208,-998.8292728597909,-486.4052341580966,-99882,-48640
196,980.0,-34.24281406106593,-224.63447627401112,-124.4239083946733,-60.543849580933035,-995.3912671573864,-484.3507966474643,-99539,-48435
197,985.0,-33.20349295460065,-224.98763722130298,-123.99204397509719,-60.27928499016087,-991.9363518007775,-482.23427992128694,-99193,-48223
198,990.0,-32.14960769873978,-225.32983776506046,-123.55820218016477,-60.00711261012631,-988.4656174413182,-480.0569008810105,-98846,-48005
199,995.0,-31.08162056238782,-225.6609278048152,-123.12252017278563,-59.72748648772814,-984.980161382285,-477.81989190182514,-98498,-47781
200,1000.0,-29.999999999999975,-225.98076211353316,-122.68513599437081,-59.440562440495746,-981.4810879549665,-475.52449952396597,-98148,-47552
