time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.6208,WARMUP,RR,-179.375,-177.0,-220.0,-179.376,-177.008,-220.094,38.364,38.365,-56.766,-56.767
0.6208,WARMUP,RL,-179.375,177.0,-220.0,-179.228,176.992,-219.75,38.441,38.436,-56.895,-56.978
0.6417,WARMUP,FR,179.375,-177.0,-220.0,179.246,-177.008,-224.43,36.012,35.48,-53.032,-52.131
0.6417,WARMUP,FL,179.375,177.0,-220.0,179.367,176.987,-219.031,38.262,38.261,-56.62,-56.62
0.6417,WARMUP,RR,-179.375,-177.0,-220.0,-179.42,-177.018,-220.286,38.351,38.351,-56.748,-56.748
0.6417,WARMUP,RL,-179.375,177.0,-220.0,-178.945,176.981,-219.71,38.452,38.399,-56.912,-57.033
0.6625,WARMUP,FR,179.375,-177.0,-220.0,179.037,-177.046,-222.192,37.288,37.033,-55.07,-54.649
0.6625,WARMUP,FL,179.375,177.0,-220.0,178.908,176.956,-220.09,38.266,38.266,-56.623,-56.623
0.6625,WARMUP,RR,-179.375,-177.0,-220.0,-179.69,-177.229,-219.862,38.343,38.343,-56.736,-56.736
0.6625,WARMUP,RL,-179.375,177.0,-220.0,-179.646,176.771,-219.847,38.427,38.452,-56.872,-56.928
0.6833,WARMUP,FR,179.375,-177.0,-220.0,179.124,-176.984,-220.879,37.872,37.808,-55.996,-55.782
0.6833,WARMUP,FL,179.375,177.0,-220.0,179.015,177.016,-220.19,38.269,38.269,-56.628,-56.627
0.6833,WARMUP,RR,-179.375,-177.0,-220.0,-179.67,-177.069,-219.705,38.339,38.34,-56.733,-56.733
0.6833,WARMUP,RL,-179.375,177.0,-220.0,-179.737,176.931,-219.899,38.368,38.365,-56.781,-56.796
0.7042,WARMUP,FR,179.375,-177.0,-220.0,179.322,-176.996,-220.37,38.132,38.099,-56.406,-56.323
0.7042,WARMUP,FL,179.375,177.0,-220.0,179.448,177.004,-220.068,38.255,38.254,-56.626,-56.627
0.7042,WARMUP,RR,-179.375,-177.0,-220.0,-179.344,-176.996,-219.876,38.338,38.338,-56.732,-56.732
0.7042,WARMUP,RL,-179.375,177.0,-220.0,-179.379,177.004,-219.916,38.362,38.362,-56.768,-56.768
0.7208,WARMUP,FR,179.375,-177.0,-220.0,179.454,-176.999,-220.189,38.22,38.184,-56.546,-56.517
0.7208,WARMUP,FL,179.375,177.0,-220.0,179.602,177.001,-220.029,38.27,38.243,-56.659,-56.674
